Unnamed: 0,融券賣出成交,Unnamed: 2,借券賣出成交,Unnamed: 4
證券名稱,數量,金額,數量,金額
2031   新光鋼          ,0,0,65,"2,375,100"
2032   新鋼            ,0,0,1,"13,600"
2033   佳大            ,0,0,0,0
2034   允強            ,6,"115,200",54,"1,034,600"
2038   海光            ,0,0,10,"131,000"
2049   上銀            ,9,"1,655,500",289,"53,117,000"
2059   川湖            ,11,"38,500,000",49,"172,620,000"
2062   橋椿            ,0,0,28,"542,600"
2069   運錩            ,0,0,10,"156,050"
2101   南港            ,6,"221,500",424,"15,698,200"
2102   泰豐            ,2,"39,500",1,"19,700"
2103   台橡            ,1,"13,850",222,"3,079,500"
2104   國際中橡        ,7,"65,710",194,"1,825,900"
2105   正新            ,1,"32,950","1,680","54,331,350"
2106   建大            ,0,0,14,"282,450"
2107   厚生            ,0,0,0,0
2108   南帝            ,1,"22,200",1,"22,250"
2109   華豐            ,0,0,1,"15,150"
2114   鑫永銓          ,0,0,0,0
2115   六暉-KY         ,0,0,0,0
2201   裕隆            ,34,"1,284,600",736,"27,908,000"
2204   中華            ,1,"59,700",20,"1,191,700"
2206   三陽工業        ,0,0,17,"1,037,600"
2207   和泰車          ,0,0,25,"15,347,000"
2208   台船            ,0,0,0,0
2211   長榮鋼          ,2,"228,000",4,"451,000"
2227   裕日車          ,0,0,0,0
2228   劍麟            ,2,"181,900",5,"456,200"
2231   為升            ,5,"461,600",13,"1,198,800"
2233   宇隆            ,6,"1,142,500",5,"958,500"
2236   百達-KY         ,84,"7,637,900",1,"91,000"
2239   英利-KY         ,0,0,0,0
2241   艾姆勒          ,5,"179,100",12,"419,950"
2243   宏旭-KY         ,0,0,0,0
2247   汎德永業        ,0,0,10,"2,846,500"
2248   華勝-KY         ,0,0,0,0
2250   IKKA-KY         ,6,"424,500",5,"361,400"
2254   巨鎧精密-創     ,0,0,0,0
2258   鴻華先進-創     ,0,0,0,0
2301   光寶科          ,182,"27,743,500","2,002","305,966,500"
2302   麗正            ,0,0,10,"179,650"
2303   聯電            ,28,"1,250,750","1,141","51,227,450"
2305   全友            ,3,"30,600",0,0
2308   台達電          ,52,"46,907,000",114,"102,627,000"
2312   金寶            ,26,"559,550","7,638","162,552,750"
2313   華通            ,25,"1,922,000",0,0
2314   台揚            ,0,0,0,0
2316   楠梓電          ,119,"10,602,700",392,"34,901,500"
2317   鴻海            ,392,"88,419,000","2,603","591,284,500"
2321   東訊            ,0,0,0,0
2323   中環            ,1,"9,100",321,"2,925,120"
2324   仁寶            ,65,"1,879,700","14,566","419,528,600"
2327   國巨*           ,55,"12,606,500","2,258","517,124,000"
2328   廣宇            ,41,"1,877,600",355,"16,246,250"
2329   華泰            ,58,"2,692,350","1,073","50,346,500"
