證券名稱,數量,金額,數量.1,金額.1,Unnamed: 5
2630   亞航            ,0,0,0,0,
2633   台灣高鐵        ,47,"1,432,550","1,216","37,174,450",
2634   漢翔            ,0,0,172,"4,979,500",
2636   台驊控股        ,20,"797,350",17,"680,500",
2637   慧洋-KY         ,1,"24,100",239,"5,911,550",
2642   宅配通          ,0,0,0,0,
2701   萬企            ,0,0,0,0,
2702   華園            ,0,0,0,0,
2704   國賓            ,0,0,3,"90,400",
2705   六福            ,0,0,0,0,
2706   第一店          ,0,0,0,0,
2707   晶華            ,0,0,16,"2,106,500",
2712   遠雄來          ,0,0,0,0,
2722   夏都            ,0,0,0,0,
2723   美食-KY         ,4,"589,500",64,"9,434,000",
