證券名稱,數量,金額,數量.1,金額.1,Unnamed: 5
2380   虹光            ,0,0,0,0,
2382   廣達            ,47,"13,047,500",714,"199,067,500",
2383   台光電          ,4,"5,835,000",135,"198,160,000",
2385   群光            ,1,"125,000",224,"28,034,000",
2387   精元            ,0,0,2,"79,100",
2388   威盛            ,8,"407,900",20,"1,018,300",
2390   云辰            ,0,0,0,0,
2392   正崴            ,0,0,0,0,
2393   億光            ,19,"1,016,400",489,"25,953,000",
2395   研華            ,2,"586,500",123,"36,079,500",
2397   友通            ,0,0,0,0,
2399   映泰            ,33,"766,850",185,"4,282,050",
2401   凌陽            ,2,"41,300",248,"5,126,500",
2402   毅嘉            ,5,"250,400",161,"7,918,850",
2404   漢唐            ,12,"9,334,000",69,"54,488,000",
2405   輔信            ,7,"123,250",100,"1,760,500",
2406   國碩            ,44,"917,200",152,"3,141,300",
2408   南亞科          ,"1,675","280,290,000","2,704","458,528,000",
2409   友達            ,252,"2,982,500","15,152","177,105,500",
2412   中華電          ,0,0,120,"15,845,000",
2413   環科            ,5,"105,000",24,"506,900",
2414   精技            ,0,0,0,0,
2415   錩新            ,0,0,1,"27,700",
2417   圓剛            ,3,"107,450",13,"465,200",
2419   仲琦            ,0,0,155,"3,481,050",
2420   新巨            ,0,0,3,"148,800",
2421   建準            ,28,"4,922,500",61,"10,827,500",
2423   固緯            ,0,0,0,0,
2424   隴華            ,0,0,0,0,
2425   承啟            ,1,"30,400",67,"1,961,700",
2426   鼎元            ,0,0,6,"95,000",
2427   三商電          ,0,0,131,"3,443,450",
2428   興勤            ,9,"1,630,500",24,"4,351,000",
2429   銘旺科          ,0,0,0,0,
2430   燦坤            ,0,0,0,0,
2431   聯昌            ,11,"124,850",9,"106,050",
2432   倚天酷��-創     ,0,0,3,"82,800",
2433   互盛電          ,0,0,0,0,
2434   統懋            ,0,0,0,0,
2436   偉詮電          ,0,0,17,"779,450",
2438   翔耀            ,0,0,0,0,
2439   美律            ,1,"113,000",123,"13,842,000",
2440   太空梭          ,0,0,0,0,
2441   超豐            ,4,"288,900",10,"724,400",
