證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
2377,微星            ,"2,460,381","1,082,180","1,378,201",0.0,0.0,0.0,"7,000","259,358","-252,358","-98,098","1,282","38,380","-37,098","2,000","63,000","-61,000","1,027,745"
2324,仁寶            ,"8,940,133","7,090,920","1,849,213",0.0,0.0,0.0,"35,000","228,000","-193,000","-632,203","18,000","137,529","-119,529","2,107","514,781","-512,674","1,024,010"
"=""00753L""",中信中國50正2   ,"2,433,000","3,474,000","-1,041,000",0.0,0.0,0.0,0,0,0,"2,050,794",0,0,0,"6,638,345","4,587,551","2,050,794","1,009,794"
1802,台玻            ,"2,346,000","1,231,000","1,115,000",0.0,0.0,0.0,"19,000",0,"19,000","-132,603",397,"82,601","-82,204","31,601","82,000","-50,399","1,001,397"
"=""048777""",全新統一48購05  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,000,000",0,0,0,"1,000,000",0,"1,000,000","1,000,000"
"=""063552""",潤泰全元富4C購01,0,0,0,0.0,0.0,0.0,0,0,0,"998,000",0,0,0,"998,000",0,"998,000","998,000"
"=""074837""",T50正2富邦4B購04,0,0,0,0.0,0.0,0.0,0,0,0,"994,000",0,0,0,"1,050,000","56,000","994,000","994,000"
"=""058923""",華城群益4A購02  ,0,0,0,0.0,0.0,0.0,0,0,0,"993,000",0,0,0,"993,000",0,"993,000","993,000"
"=""061792""",牧德富邦48購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"978,000",0,0,0,"1,205,000","227,000","978,000","978,000"
1216,統一            ,"7,529,295","7,083,234","446,061",0.0,0.0,0.0,"902,000","120,264","781,736","-252,019","129,000","213,000","-84,000","11,000","179,019","-168,019","975,778"
"=""053199""",中502X元富4A購03,0,0,0,0.0,0.0,0.0,0,0,0,"962,000",0,0,0,"1,499,000","537,000","962,000","962,000"
"=""057085""",創意元大4B購02  ,0,0,0,0.0,0.0,0.0,0,0,0,"953,000",0,0,0,"953,000",0,"953,000","953,000"
"=""043692""",台光電元大55購09,0,0,0,0.0,0.0,0.0,0,0,0,"940,000",0,0,0,"995,000","55,000","940,000","940,000"
"=""074531""",SGBR2X群益49購03,0,0,0,0.0,0.0,0.0,0,0,0,"927,000",0,0,0,"939,000","12,000","927,000","927,000"
"=""069244""",臺股指元富48購03,0,0,0,0.0,0.0,0.0,0,0,0,"919,000",0,0,0,"919,000",0,"919,000","919,000"
