證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,Unnamed: 8
2618,長榮航,34.15,7.03,113,7.09,1.4,114/3,
2630,亞航,51.10,1.21,113,50.10,3.04,114/3,
2633,台灣高鐵,27.85,3.77,113,24.65,2.2,114/3,
2634,漢翔,52.90,2.61,113,66.13,2.93,114/3,
2636,台驊控股,66.80,8.98,113,8.17,1.02,114/3,
2637,慧洋-KY,65.70,7.61,113,15.83,1.09,114/3,
2642,宅配通,26.85,1.86,113,-,1.18,114/3,
2645,長榮航太,153.50,2.93,113,29.02,4.39,114/3,
2646,星宇航空,23.25,0.0,113,258.33,2.16,114/3,
2701,萬企,11.15,2.51,113,22.30,0.61,114/3,
2702,華園,11.75,0.0,113,-,0.59,114/3,
2704,國賓,43.35,1.15,113,114.08,0.6,114/3,
2705,六福,16.50,0.0,113,137.50,0.66,114/3,
2706,第一店,13.10,2.67,113,22.59,0.67,114/3,
2707,晶華,192.00,7.48,113,17.30,6.72,114/3,
2712,遠雄來,19.20,0.0,113,-,1.91,114/3,
2722,夏都,28.60,0.52,113,-,1.69,114/3,
2723,美食-KY,69.90,4.29,113,-,1.32,114/3,
2727,王品,215.50,6.77,113,14.13,4.15,114/3,
